tiempo,tension,corriente,potencia,energia,velocidad,potencia_objetivo
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,32.00,1920.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,59.00,33.00,1947.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,31.00,1860.00,0.00,0.00,0.00
0.00,60.00,34.00,2040.00,0.00,0.00,0.00
0.00,60.00,35.00,2100.00,0.00,0.00,0.00
0.00,60.00,36.00,2160.00,0.00,0.00,0.00
0.00,60.00,37.00,2220.00,0.00,0.00,0.00
0.00,60.00,37.00,2220.00,0.00,0.00,0.00
0.00,60.00,37.00,2220.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,37.00,2220.00,0.00,0.00,0.00
0.00,60.00,37.00,2220.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,36.00,2160.00,0.00,0.00,0.00
0.00,60.00,37.00,2220.00,0.00,0.00,0.00
0.00,60.00,37.00,2220.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,37.00,2220.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,59.00,39.00,2301.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,59.00,39.00,2301.00,0.00,0.00,0.00
0.00,59.00,39.00,2301.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,59.00,38.00,2242.00,0.00,0.00,0.00
0.00,60.00,38.00,2280.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,59.00,39.00,2301.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,60.00,39.00,2340.00,0.00,0.00,0.00
0.00,56.00,36.00,2016.00,0.00,0.00,0.00
0.00,51.00,30.00,1530.00,0.00,0.00,0.00
0.00,43.00,20.00,860.00,0.00,0.00,0.00
0.00,37.00,13.00,481.00,0.00,0.00,0.00
0.00,31.00,5.00,155.00,0.00,0.00,0.00
0.00,23.00,5.00,115.00,0.00,0.00,0.00
0.00,18.00,5.00,90.00,0.00,0.00,0.00
0.00,12.00,5.00,60.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
0.00,7.00,5.00,35.00,0.00,0.00,0.00
